Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
['JEFATURA DEL ESTADO'],['Medidas urgentes'],"['Real Decreto-ley 35/2020, de 22 de diciembre, de medidas urgentes de apoyo al sector turístico, la hostelería y el comercio y en materia tributaria.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16823,['I. Disposiciones generales'],"['Asuntos sociales', 'Comercio', 'Cultura y ocio', 'Derecho Administrativo', 'Derecho Civil', 'Sanidad', 'Seguridad Social', 'Sistema tributario', 'Trabajo y empleo', 'Turismo']","['Actividades económicas', 'Arrendamientos urbanos', 'Artistas', 'Ayudas', 'Comedores colectivos', 'Comercio', 'Contratos', 'Cotización a la Seguridad Social', 'Cultura', 'Desarrollo regional', 'Empleados de Hogar', 'Empleo', 'Enfermedades', 'Epidemias', 'Espectáculos', 'Establecimientos públicos', 'Estado de alarma', 'Estimación objetiva', 'Exenciones', 'Hostelería', 'Impuesto sobre el Valor Añadido', 'Impuesto sobre la Renta de las Personas Físicas', 'Impuesto sobre la Renta de los no Residentes', 'Impuesto sobre Sociedades', 'Material sanitario', 'Pequeña y Mediana Empresa', 'Procedimiento administrativo', 'Recaudación', 'Régimen General de la Seguridad Social', 'Renta Mínima de Inserción', 'Retribuciones', 'Servicio Público de Empleo Estatal', 'Sistema tributario', 'Subvenciones', 'Suelo', 'Toreros', 'Trabajadores autónomos', 'Turismo']"
['JEFATURA DEL ESTADO'],['Medidas urgentes'],"['Real Decreto-ley 37/2020, de 22 de diciembre, de medidas urgentes para hacer frente a las situaciones de vulnerabilidad social y económica en el ámbito de la vivienda y en materia de transportes.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16824,['I. Disposiciones generales'],"['Asuntos sociales', 'Consumidores y usuarios', 'Derecho Administrativo', 'Derecho Civil', 'Sanidad', 'Transportes y tráfico', 'Vivienda y urbanismo']","['Aguas', 'Asistencia social', 'Ayudas', 'Consumidores y usuarios', 'Contrato de gestión de servicios públicos', 'Desahucios', 'Dirección General de Transportes Terrestres', 'Enjuiciamiento Civil', 'Epidemias', 'Estado de alarma', 'Pobreza', 'Procedimiento administrativo', 'Quejas y sugerencias', 'Suministro de energía', 'Suministros', 'Transporte de viajeros', 'Transportes por carretera', 'Viviendas', 'Viviendas de Protección Oficial']"
['CORTES GENERALES'],['Medidas urgentes'],"['Resolución de 17 de diciembre de 2020, del Congreso de los Diputados, por la que se ordena la publicación del Acuerdo de convalidación del Real Decreto-ley 34/2020, de 17 de noviembre, de medidas urgentes de apoyo a la solvencia empresarial y al sector energético, y en materia tributaria.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16825,['I. Disposiciones generales'],"['Comercio', 'Derecho Mercantil', 'Energía', 'Industria', 'Medio ambiente', 'Sanidad', 'Sistema financiero', 'Sistema tributario', 'Trabajo y empleo', 'Transportes y tráfico']","['Aranceles Profesionales', 'Asistencia sanitaria', 'Aval', 'Ayudas', 'Banco de España', 'Canarias', 'Cinematografía', 'Créditos Extraordinarios y Suplementarios', 'Derechos de contaminación negociables', 'Empresas', 'Epidemias', 'Euro', 'Gasoductos', 'Hidrocarburos', 'Hipoteca', 'Impuesto sobre el Valor Añadido', 'Impuesto sobre Sociedades', 'Industrias', 'Instituto de Crédito Oficial', 'Inversiones extranjeras', 'Material sanitario', 'Mercado de Valores', 'Notarías', 'Procedimiento concursal', 'Sociedades de capital', 'Suministro de energía', 'Trabajadores autónomos', 'Transporte de energía', 'Vehículos de motor']"
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Tratados internacionales'],"['Textos enmendados aprobados en París el 15 de noviembre de 2020 del Anexo I, Listas de sustancias y métodos prohibidos, y del Anexo II, Estándar Internacional para autorizaciones de uso terapéutico, de la Convención Internacional contra el dopaje en el deporte, hecha en París el 18 de noviembre de 2005.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16826,['I. Disposiciones generales'],"['Deporte', 'Relaciones internacionales']","['Acuerdos internacionales', 'Autorizaciones', 'Deporte', 'Dopaje', 'Organización de las Naciones Unidas para la Educación la Ciencia y la Cultura']"
['MINISTERIO DE HACIENDA'],['Organización'],"['Orden HAC/1238/2020, de 17 de noviembre de 2020, por la que se crean y regulan la Junta y la Mesa de Contratación de los Servicios Centrales en el Ministerio de Hacienda.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16827,['I. Disposiciones generales'],"['Derecho Administrativo', 'Organización de la Administración']","['Juntas de Contratación', 'Mesas de Contratación', 'Ministerio de Hacienda']"
['MINISTERIO DE HACIENDA'],['Incentivos regionales'],"['Orden HAC/1239/2020, de 21 de diciembre, por la que se publica el Acuerdo de la Comisión Delegada del Gobierno para Asuntos Económicos por el que se prorroga el plazo de vigencia de los Reales Decretos de delimitación de las Zonas de Promoción Económica de la Comunidad Autónoma de Galicia, Andalucía, Principado de Asturias, Comunidad Autónoma de Cantabria, Comunidad Autónoma de la Región de Murcia, Comunitat Valenciana, Aragón, Comunidad Autónoma de Castilla-La Mancha, Canarias, Comunidad Autónoma de Extremadura, Comunidad de Castilla y León, Comunidad Autónoma de La Rioja, Comunidad Autónoma de las Illes Balears, Ciudad de Ceuta y Ciudad de Melilla, a los efectos de solicitar las ayudas de incentivos regionales.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16828,['I. Disposiciones generales'],"['Organización de la Administración', 'Sistema tributario']","['Comunidades Autónomas', 'Financiación de las Comunidades Autónomas', 'Política económica']"
['MINISTERIO DE HACIENDA'],['Comercio intracomunitario. Estadísticas'],"['Resolución de 15 de diciembre de 2020, del Departamento de Aduanas e Impuestos Especiales de la Agencia Estatal de Administración Tributaria, por la que se modifica la de 22 de mayo de 2018, para la elaboración de las estadísticas de intercambios de bienes entre Estados miembros (Sistema Intrastat).']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16829,['I. Disposiciones generales'],"['Comercio', 'Unión Europea']","['Agencia Estatal de la Administración Tributaria', 'Estadística', 'Intercambios intracomunitarios', 'Mercancías', 'Nomenclatura', 'Unión Europea']"
"['MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA']",['Red ferroviaria'],"['Orden TMA/1240/2020, de 8 de diciembre, por la que se modifica la denominación de la Estación de Ferrocarril de Madrid-Chamartín y se modifica la Orden FOM/710/2015, de 30 de enero, por la que se aprueba el Catálogo de líneas y tramos de la Red Ferroviaria de Interés General.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16830,['I. Disposiciones generales'],['Transportes y tráfico'],"['Ferrocarriles', 'Madrid', 'Red Ferroviaria de Interés General']"
"['MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA']",['Seguridad aérea'],"['Resolución de 17 de diciembre de 2020, de la Dirección de la Agencia Estatal de Seguridad Aérea, por la que se actualizan las Directrices operativas para la gestión de pasajeros aéreos y personal de aviación con relación a la pandemia COVID-19.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16831,['I. Disposiciones generales'],"['Consumidores y usuarios', 'Derecho Administrativo', 'Sanidad', 'Transportes y tráfico']","['Distintivos', 'Enfermedades', 'Epidemias', 'Formularios administrativos', 'Transporte de viajeros', 'Transportes aéreos', 'Tripulación', 'Viajeros']"
"['MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO']",['Subvenciones'],"['Real Decreto 1153/2020, de 22 de diciembre, por el que se modifica el Real Decreto 874/2017, de 29 de septiembre, por el que se regula el apoyo oficial en forma de subvención al tipo de interés de los créditos para la construcción de buques.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16832,['I. Disposiciones generales'],"['Derecho Administrativo', 'Industria']","['Ayudas', 'Buques', 'Construcciones navales', 'Créditos', 'Dirección General de la Pequeña y Mediana Industria', 'Intereses', 'Procedimiento administrativo', 'Subvenciones']"
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Riesgos laborales. Prevención'],"['Real Decreto 1154/2020, de 22 de diciembre, por el que se modifica el Real Decreto 665/1997, de 12 de mayo, sobre la protección de los trabajadores contra los riesgos relacionados con la exposición a agentes cancerígenos durante el trabajo.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16833,['I. Disposiciones generales'],"['Derecho Administrativo', 'Sanidad', 'Trabajo y empleo']","['Enfermedades', 'Ficheros con datos personales', 'Jornada laboral', 'Normas de calidad', 'Seguridad e higiene en el trabajo', 'Servicios de Prevención de Riesgos Laborales', 'Servicios Públicos de Salud', 'Sustancias peligrosas', 'Trabajadores']"
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Medicamentos y productos sanitarios. Fuerzas Armadas'],"['Real Decreto 1155/2020, de 22 de diciembre, por el que se determina la aplicación de los criterios y normas de garantía y uso racional de los medicamentos y productos sanitarios a los servicios sanitarios de las Fuerzas Armadas.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16834,['I. Disposiciones generales'],"['Consumidores y usuarios', 'Derecho Administrativo', 'Sanidad', 'Seguridad y Defensa']","['Almacenes', 'Asistencia farmacéutica', 'Consumidores y usuarios', 'Cosméticos', 'Especialidades y productos farmacéuticos', 'Farmacia Militar', 'Fuerzas Armadas', 'Medicamentos', 'Ministerio de Defensa', 'Oficinas de farmacia', 'Productos higiénicos', 'Registros administrativos']"
['MINISTERIO DE POLÍTICA TERRITORIAL Y FUNCIÓN PÚBLICA'],['Comunidad Autónoma de Cataluña. Traspaso de funciones y servicios'],"['Real Decreto 1156/2020, de 22 de diciembre, de ampliación de los medios traspasados a la Generalitat de Cataluña por el Real Decreto 966/1990, de 20 de julio, en materia de provisión de medios materiales y económicos para el funcionamiento de la Administración de Justicia.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16835,['I. Disposiciones generales'],"['Administración de Justicia', 'Organización de la Administración']","['Administración de Justicia', 'Cataluña', 'Comunidades Autónomas', 'Juzgados']"
['MINISTERIO DE POLÍTICA TERRITORIAL Y FUNCIÓN PÚBLICA'],['Fondo Estatal de Inversión Local. Liquidación y extinción'],"['Real Decreto 1157/2020, de 22 de diciembre, por el que se declara la liquidación y extinción del Fondo Estatal de Inversión Local, F.C.P.J.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16836,['I. Disposiciones generales'],['Organización de la Administración'],"['Dirección General de Cooperación Autonómica y Local', 'Fondos de dinero', 'Ministerio de Política Territorial y Función Pública', 'Obras y Servicios de las Corporaciones Locales']"
['MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO'],['Subvenciones'],"['Real Decreto 1158/2020, de 22 de diciembre, por el que se regula la concesión directa de subvenciones para el desarrollo de planes piloto de fomento de la adaptación del riesgo de inundación de las edificaciones, equipamientos e instalaciones o explotaciones existentes en los términos municipales de Los Alcázares, San Javier, Torre-Pacheco, Cartagena y San Pedro del Pinatar (Murcia).']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16837,['I. Disposiciones generales'],"['Medio ambiente', 'Obras y construcciones']","['Ayudas', 'Ayuntamientos', 'Inundaciones', 'Murcia', 'Obras', 'Obras hidráulicas', 'Riesgos', 'Secretaría de Estado de Medio Ambiente', 'Subvenciones']"
['MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO'],['Subvenciones'],"['Real Decreto 1159/2020, de 22 de diciembre, por el que se regula la concesión directa de una subvención a la Agencia del Agua de Castilla-La Mancha, O.A., para la ejecución de diversas obras y actuaciones de mejora del entorno socioeconómico de los núcleos colindantes con los embalses de Entrepeñas y Buendía.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16838,['I. Disposiciones generales'],"['Medio ambiente', 'Obras y construcciones']","['Ayudas', 'Castilla La Mancha', 'Comunidades Autónomas', 'Desarrollo regional', 'Emblemas', 'Ministerio para la Transición Ecológica y el Reto Demográfico', 'Obras', 'Obras hidráulicas', 'Subvenciones']"
['MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO'],['Subvenciones'],"['Real Decreto 1160/2020, de 22 de diciembre, por el que se regula la concesión directa de una subvención a la Comunidad Autónoma de Canarias para la financiación del funcionamiento de plantas potabilizadoras de agua situadas en su territorio.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-16839,['I. Disposiciones generales'],"['Medio ambiente', 'Obras y construcciones']","['Abastecimiento de aguas', 'Ayudas', 'Canarias', 'Obras hidráulicas', 'Secretaría de Estado de Medio Ambiente', 'Subvenciones']"
