Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21069045-2021,"RESOLUCIÓN PRE/692/2021, de 9 de marzo, de distribución provisional a los municipios de Cataluña de la participación en los ingresos de la Generalidad integrada en el Fondo de Cooperación Local de Cataluña, año 2021.",12/03/2021,"Ley 29/1998, Resolución PRE/1384/2019, Ley 4/2020, Ley 4/202",
CVE-DOGC-B-21069046-2021,"RESOLUCIÓN PRE/693/2021, de 9 de marzo, de distribución a Arán y a las comarcas de Cataluña de la participación en los ingresos de la Generalidad integrada en el Fondo de Cooperación Local de Cataluña, año 2021.",12/03/2021,"Ley 29/1998, Resolución PRE/1384/2019, Ley 4/2020, Resolución PRE/1784/2019",
CVE-DOGC-B-21069047-2021,"RESOLUCIÓN PRE/694/2021, de 9 de marzo, de distribución a las entidades municipales descentralizadas de Cataluña de la participación en los ingresos de la Generalidad integrada en el Fondo de Cooperación Local de Cataluña, año 2021.",12/03/2021,"Ley 29/1998, Resolución PRE/1384/2019, Ley 4/2020, Resolución PRE/1784/2019",
CVE-DOGC-B-21069048-2021,"RESOLUCIÓN PRE/680/2021, de 9 de marzo, por la que se da publicidad a los convenios de colaboración suscritos por el Instituto Nacional de Educación Física de Cataluña durante el segundo semestre del año 2020.",12/03/2021,"Ley 19/2014, Ley 26/2010",
CVE-DOGC-B-21069050-2021,"RESOLUCIÓN VEH/681/2021, de 8 de marzo, por la que se da publicidad al Convenio único de colaboración entre la Agencia Tributaria de Cataluña y el Ayuntamiento de Lleida en materia tributaria.",12/03/2021,"Ley 19/2014, Real Decreto Legislativo 2/2004, Resolución VEH/3102/2019, Reglamento (UE) 2016/679, Ley 29/2010, Ley 40/2015, Resolución ECO/184/2014, Ley 58/2003, Ley 29/1998, Real Decreto 939/2005, Ley 9/2017, Ley 17/2017, Ley 26/2010, Ley 7/1985, Ley 39/2015",LEY 9/2017 ESP
CVE-DOGC-B-21069051-2021,"RESOLUCIÓN TES/682/2021, de 9 de marzo, por la que se hace público el Acuerdo de declaración de impacto ambiental del Proyecto básico de autorización ambiental de una actividad de tratamiento de aguas residuales generadas por otros establecimientos, en el término municipal de Hostalric (exp. G1AAI170111).",12/03/2021,"Ley 9/1993, Ley 21/2013, Real decreto 815/2013, Ley 39/2015, Real decreto 817/2015, Ley 9/2018, Ley 5/2013, Ley 16/2002, Ley 20/2009","BARCELONA 12/1/2011, DEC 176/2009 CAT, DLE 5/2013 CAT, LEY 16/2002 CAT, LEY 16/2002 ESP, LEY 20/2009 CAT, LEY 21/2013 ESP, LEY 5/2013 ESP, LEY 9/2018 ESP, ORD MAH/611/2010 CAT, RD 509/2007 ESP, RD 815/2013 ESP, RES 8/3/2016 ESP, RES TES/1007/2014 CAT, RES TES/2243/2013 CAT, RES TES/2330/2014 CAT, RES TES/2799/2012 CAT, STC 113/2019 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21064079-2021,"EDICTO de 3 de marzo de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo de El Penedès referentes al municipio de Sant Cugat Sesgarrigues.",12/03/2021,"Ley 3/2012, orden PTO/343/2005, Ley 29/1998, Ley 2/2007, Ley 39/2015","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21064033-2021,"EDICTO de 3 de marzo de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo de Les Terres de l'Ebre referentes al municipio de Xerta.",12/03/2021,"Ley 3/2012, orden PTO/343/2005, Ley 29/1998, ORDEN TES/195/2019, Ley 2/2007, Ley 39/2015","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21064076-2021,"EDICTO de 4 de marzo de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo de El Penedès referentes al municipio de Sant Sadurní d'Anoia.",12/03/2021,"Ley 3/2012, orden PTO/343/2005, Ley 29/1998, Ley 2/2007, Ley 39/2015","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21064060-2021,"EDICTO de 5 de marzo de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo del ámbito metropolitano de Barcelona referente al municipio de Sant Feliu de Llobregat.",12/03/2021,"Ley 29/1998, Ley 2/2007, Ley 3/2012, Ley 39/2015","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
