Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21060086-2021,"ACUERDO de la Mesa de la Diputación Permanente por el que se aprueba la versión en occitano (aranés) de la Ley 1/2020, de 17 de febrero, de modificación de la Ley 14/2017, de la renta garantizada de ciudadanía.",03/03/2021,"Ley 2/2007, Ley 14/2017, Ley 1/2020, Ley 35/2010",LEY 35/2010 ESP
CVE-DOGC-B-21060085-2021,"ACUERDO de la Mesa de la Diputación Permanente por el que se aprueba la versión en occitano (aranés) de la Ley 10/2020, de 31 de julio, de modificación de la Ley 14/2010, de los derechos y las oportunidades en la infancia y la adolescencia, en relación con la exención de copago a los menores huérfanos tutelados por la Generalidad.",03/03/2021,"Ley 2/2007, Ley 14/2010, Ley 10/2020, Ley 35/2010",LEY 35/2010 ESP
CVE-DOGC-B-21060040-2021,"RESOLUCIÓN 1139/XII del Parlamento de Cataluña, de convalidación del Decreto ley 4/2021, por el que se modifican determinados aspectos del régimen jurídico de las entidades deportivas de Cataluña, como consecuencia de la pandemia generada por la COVID-19.",03/03/2021,ley 4/2021,
CVE-DOGC-B-21060039-2021,"RESOLUCIÓN 1140/XII del Parlamento de Cataluña, de convalidación del Decreto ley 2/2021, de ayudas extraordinarias en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a las consecuencias de la COVID-19.",03/03/2021,ley 2/2021,
CVE-DOGC-B-21060038-2021,"RESOLUCIÓN 1141/XII del Parlamento de Cataluña, de convalidación del Decreto ley 7/2021, de medidas extraordinarias en materia de cooperativas, empresas y entidades de la economía social, como consecuencia de la crisis derivada de la COVID-19 y de modificación del Decreto ley 16/2020, de 5 de mayo, de medidas urgentes complementarias en materia de transparencia, ayudas de carácter social, contratación y movilidad para hacer frente a la COVID-19.",03/03/2021,"ley 16/2020, ley 7/2021",
CVE-DOGC-B-21060037-2021,"RESOLUCIÓN 1142/XII del Parlamento de Cataluña, de convalidación del Decreto ley 9/2021, de medidas extraordinarias de carácter social y en el ámbito de la cultura con motivo de la pandemia de la COVID-19 y de modificación del Decreto ley 25/2020, de 16 de junio, de medidas extraordinarias en materia social y de carácter fiscal y administrativo.",03/03/2021,"ley 9/2021, ley 25/2020",
CVE-DOGC-B-21060036-2021,"RESOLUCIÓN 1143/XII del Parlamento de Cataluña, de convalidación del Decreto ley 3/2021, de modificación de la Ley 15/2020, de 22 de diciembre, de las áreas de promoción económica urbana.",03/03/2021,"Ley 15/2020, ley 3/2021",
CVE-DOGC-B-21060035-2021,"RESOLUCIÓN 1144/XII del Parlamento de Cataluña, de convalidación del Decreto ley 5/2021, por el que se aprueban medidas urgentes para la implementación y gestión de los fondos procedentes del Mecanismo de Recuperación y Resiliencia y del fondo REACT-EU para la Administración de la Generalidad de Cataluña y su sector público.",03/03/2021,ley 5/2021,
CVE-DOGC-B-21060034-2021,"RESOLUCIÓN 1145/XII del Parlamento de Cataluña, de convalidación del Decreto ley 6/2021, de medidas de carácter organizativo en los ámbitos sanitario y penitenciario y de justicia juvenil.",03/03/2021,ley 6/2021,
CVE-DOGC-B-21060033-2021,"RESOLUCIÓN 1146/XII del Parlamento de Cataluña, de convalidación del Decreto ley 8/2021, por el que se adoptan medidas organizativas para la ejecución de la estrategia de vacunación en Cataluña frente a la COVID-19 y se modifica el artículo 2 del Decreto ley 12/2020, de 10 de abril.",03/03/2021,"ley 12/2020, ley 8/2021",
CVE-DOGC-B-21060032-2021,"RESOLUCIÓN 1147/XII del Parlamento de Cataluña, de convalidación del Decreto ley 1/2021, por el que se modifica la Ley 10/1994, de 11 de julio, de la Policía de la Generalidad - Mossos d'Esquadra, y se establecen medidas correctoras para equilibrar la presencia de mujeres y hombres.",03/03/2021,"ley 1/2021, Ley 10/1994",
CVE-DOGC-B-21057036-2021,"RESOLUCIÓN VEH/515/2021, de 24 de febrero, por la que se publica el inicio de la distribución y las características de la serie de billetes de El Rasca Ràpid (Loto Ràpid) denominada 7 en Ratlla (número de serie 203), en soporte físico.",03/03/2021,,
CVE-DOGC-B-21060041-2021,"RESOLUCIÓN TES/556/2021, de 26 de febrero, por la que se emite el informe ambiental estratégico del Plan especial urbanístico para la regulación de la actividad existente de un vivero de jardinería y ampliación de usos complementarios, en el término municipal de Lleida (exp. U20/072 - OTAALL20200227).",03/03/2021,"Ley 16/2015, Ley 21/2013, Resolución TES/120/2015, Ley 6/2009","LEY 16/2015 CAT, LEY 21/2013 ESP, LEY 6/2009 CAT, LEY 9/2018 ESP, ORD EMC/155/2017 CAT, RES 8/3/2016 ESP, RES EXI/1323/2016 CAT, STC 13/2015 ESP , STC 53/2017 ESP"
CVE-DOGC-B-21055060-2021,"EDICTO de 23 de febrero de 2021, sobre acuerdos de la Comisión Territorial de Urbanismo de Girona referentes al municipio de Caldes de Malavella.",03/03/2021,"Ley 2/2007, Ley 39/2015, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21055079-2021,"EDICTO de 24 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo del ámbito metropolitano de Barcelona referente al municipio de Begues.",03/03/2021,"Ley 2/2007, Ley 39/2015, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21055106-2021,"EDICTO de 24 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de El Camp de Tarragona referente al municipio de La Pobla de Mafumet.",03/03/2021,"Ley 2/2007, Ley 39/2015, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21055082-2021,"EDICTO de 24 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de Girona referente al municipio de Vilafant.",03/03/2021,"Ley 2/2007, Ley 39/2015, Ley 29/1998, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
